"Time","C1_39.05nM","C2_78.12nM","C3_156.2nM","C4_312.5nM","C5_625nM","C6_1250nM","C7_2500nM","C8_5000nM"
-52.36,-0.0429993,-0.116849,-0.026062,0.149142,0.0528564,-0.369141,-0.350891,-0.2926
-52.26,-0.0476711,-0.13324,-0.0444031,0.0889893,0.025116,-0.387118,-0.383698,-0.294159
-52.16,-0.0578308,-0.150421,-0.0666504,0.0159607,0.0223999,-0.389465,-0.391113,-0.294922
-52.06,-0.0722961,-0.176603,-0.0787942,-0.0344521,-0.00183105,-0.399628,-0.389951,-0.304319
-51.96,-0.0691833,-0.171906,-0.0889282,-0.0610046,-0.00183105,-0.374633,-0.373535,-0.276978
-51.86,-0.0613708,-0.168427,-0.0952148,-0.0676579,0.00128174,-0.352356,-0.358704,-0.249634
-51.76,-0.0453182,-0.147675,-0.105347,-0.0727234,0.017334,-0.301941,-0.322754,-0.213684
-51.66,-0.047699,-0.140289,-0.134644,-0.0969543,0.000488281,-0.28949,-0.305969,-0.201599
-51.56,-0.0500488,-0.14264,-0.127228,-0.096558,-0.00222778,-0.272675,-0.286835,-0.179718
-51.46,-0.0441589,-0.133636,-0.127625,-0.0903015,0.00012207,-0.258605,-0.274719,-0.16095
-51.36,-0.0457458,-0.133637,-0.142456,-0.11142,0.00323486,-0.244171,-0.252075,-0.126221
-51.26,-0.0379305,-0.130524,-0.145966,-0.120758,0.0110474,-0.218381,-0.215332,-0.104309
-51.16,-0.0343933,-0.13559,-0.142822,-0.105133,0.0290527,-0.171082,-0.167297,-0.0855713
-51.06,-0.0488586,-0.138702,-0.168639,-0.114532,0.0196533,-0.137512,-0.160644,-0.0855706
-50.96,-0.0574646,-0.144989,-0.160828,-0.116486,0.0325317,-0.110167,-0.138,-0.0758057
-50.86,-0.0449524,-0.125032,-0.13855,-0.103975,0.0548096,-0.0875244,-0.103638,-0.0679951
-50.76,-0.0379333,-0.120758,-0.129944,-0.111786,0.0567627,-0.0761719,-0.098938,-0.0726929
-50.66,-0.0351868,-0.121124,-0.139343,-0.108673,0.0618286,-0.0691528,-0.0872192,-0.0679932
-50.56,-0.0304871,-0.127775,-0.151426,-0.130522,0.0430908,-0.0808716,-0.0989362,-0.0750104
-50.46,-0.0351868,-0.127777,-0.160797,-0.139893,0.0497437,-0.0984494,-0.107117,-0.0679932
-50.36,-0.0304871,-0.123078,-0.170959,-0.143402,0.039978,-0.125,-0.109863,-0.0808719
-50.26,-0.0203575,-0.116058,-0.190125,-0.132904,0.052063,-0.124636,-0.0966187,-0.0922241
-50.16,-0.0382996,-0.130524,-0.214722,-0.144989,0.0341187,-0.139465,-0.114563,-0.107056
-50.06,-0.0429993,-0.137543,-0.221375,-0.138336,0.0247192,-0.132813,-0.11261,-0.110168
